2025-09-13 06:45:42 | INFO     | app.services.auth_service:initialize:26 | Iniciando autenticação com InfraWatch Backend...
2025-09-13 06:45:43 | INFO     | app.services.infrawatch_client:login:56 | Login realizado com sucesso no InfraWatch
2025-09-13 06:45:43 | INFO     | app.services.auth_service:initialize:30 | Autenticação realizada com sucesso!
2025-09-13 06:45:43 | INFO     | app.main:lifespan:39 | ✅ Autenticação inicializada com sucesso
2025-09-13 06:45:43 | INFO     | app.main:lifespan:43 | ✅ AI Agent inicializado com sucesso
2025-09-13 06:46:02 | INFO     | app.main:lifespan:48 | 🔄 Finalizando AI Agent...
2025-09-13 06:46:03 | INFO     | app.core.logging:setup_logging:48 | Sistema de logging configurado
2025-09-13 06:46:03 | INFO     | app.main:lifespan:30 | 🚀 Iniciando InfraWatch AI Agent...
2025-09-13 06:46:03 | INFO     | app.main:lifespan:35 | 🔐 Inicializando autenticação com InfraWatch Backend...
2025-09-13 06:46:03 | INFO     | app.services.auth_service:initialize:26 | Iniciando autenticação com InfraWatch Backend...
2025-09-13 06:46:04 | INFO     | app.services.infrawatch_client:login:56 | Login realizado com sucesso no InfraWatch
2025-09-13 06:46:04 | INFO     | app.services.auth_service:initialize:30 | Autenticação realizada com sucesso!
2025-09-13 06:46:04 | INFO     | app.main:lifespan:39 | ✅ Autenticação inicializada com sucesso
2025-09-13 06:46:04 | INFO     | app.main:lifespan:43 | ✅ AI Agent inicializado com sucesso
2025-09-13 06:46:35 | INFO     | app.main:lifespan:48 | 🔄 Finalizando AI Agent...
2025-09-13 06:46:35 | INFO     | app.core.logging:setup_logging:48 | Sistema de logging configurado
2025-09-13 06:46:35 | INFO     | app.main:lifespan:30 | 🚀 Iniciando InfraWatch AI Agent...
2025-09-13 06:46:35 | INFO     | app.main:lifespan:35 | 🔐 Inicializando autenticação com InfraWatch Backend...
2025-09-13 06:46:35 | INFO     | app.services.auth_service:initialize:26 | Iniciando autenticação com InfraWatch Backend...
2025-09-13 06:46:36 | INFO     | app.services.infrawatch_client:login:56 | Login realizado com sucesso no InfraWatch
2025-09-13 06:46:36 | INFO     | app.services.auth_service:initialize:30 | Autenticação realizada com sucesso!
2025-09-13 06:46:36 | INFO     | app.main:lifespan:39 | ✅ Autenticação inicializada com sucesso
2025-09-13 06:46:36 | INFO     | app.main:lifespan:43 | ✅ AI Agent inicializado com sucesso
2025-09-13 06:48:33 | INFO     | app.main:lifespan:48 | 🔄 Finalizando AI Agent...
2025-09-13 06:48:34 | INFO     | app.core.logging:setup_logging:48 | Sistema de logging configurado
2025-09-13 06:48:34 | INFO     | app.main:lifespan:30 | 🚀 Iniciando InfraWatch AI Agent...
2025-09-13 06:48:34 | INFO     | app.main:lifespan:35 | 🔐 Inicializando autenticação com InfraWatch Backend...
2025-09-13 06:48:34 | INFO     | app.services.auth_service:initialize:26 | Iniciando autenticação com InfraWatch Backend...
2025-09-13 06:48:35 | INFO     | app.services.infrawatch_client:login:56 | Login realizado com sucesso no InfraWatch
2025-09-13 06:48:35 | INFO     | app.services.auth_service:initialize:30 | Autenticação realizada com sucesso!
2025-09-13 06:48:35 | INFO     | app.main:lifespan:39 | ✅ Autenticação inicializada com sucesso
2025-09-13 06:48:35 | INFO     | app.main:lifespan:43 | ✅ AI Agent inicializado com sucesso
2025-09-13 06:52:12 | INFO     | app.main:lifespan:48 | 🔄 Finalizando AI Agent...
